id,name,slug,counts
14572,agriculture,agriculture,78
6186561,AgriTech,agritech,16
21446220,AgTech,agtech,66
113865,air pollution,air-pollution,11
2024,Automotive,automotive,14
449553432,automotive industry,automotive-industry,13
449554716,autonomous car,autonomous-car,14
419944026,autonomous vehicles,autonomous-vehicles,63
576595935,Autotech Ventures,autotech-ventures,10
576603980,Cultured meat,cultured-meat,17
77139,disaster recovery,disaster-recovery,10
576858236,EC Food Climate and Sustainability,ec-food-climate-and-sustainability,19
1569511,electric bike,electric-bike,12
1138367,electric scooters,electric-scooters,59
378477,electric vehicle,electric-vehicle,17
197443,electric vehicles,electric-vehicles,92
542,electricity,electricity,24
1212,energy,energy,86
576638901,energy impact partners,energy-impact-partners,11
184,environment,environment,13
429989,Tesla,tesla,79
60506495,e-scooters,e-scooters,23
23327,farming,farming,34
576594524,food science,food-science,10
576715268,food production,food-production,10
576638761,food supply chain,food-supply-chain,14
2142815,food waste,food-waste,26
576604510,greenhouse gas emissions,greenhouse-gas-emissions,45
449557065,GreenTech,greentech,14
16897,climate change,climate-change,22
287382922,Impossible foods,impossible-foods,32
264561,meat substitutes,meat-substitutes,43
449556319,memphis meats,memphis-meats,15
1099,nature,nature,11
70566,Solar Power,solar-power,10
6877,sustainability,sustainability,27
421917008,sosv,sosv,32
92152945,Beyond Meat,beyond-meat,26
449559068,Bowery Farming,bowery-farming,10
567205,carbon footprint,carbon-footprint,11
576617966,Rivian,rivian,13
13570,renewable energy,renewable-energy,47
576819055,plant-based food,plant-based-food,13
519690,plastics,plastics,15
4720757,e-bike,e-bike,23
2621719,e-bikes,e-bikes,17
42976,recycling,recycling,14
8525,urban planning,urban-planning,11
576649511,vertical farming,vertical-farming,10
