id,name,slug,counts
449557068,Advertising Tech,advertising-tech,1056
576602837,Blockchain,blockchain,197
576604891,Book Review,book-review,5
576636710,Brand Designers,brand-designers,15
2432390,Built In,built-in,4
576601119,Cryptocurrency,cryptocurrency,230
1342,Education,education,826
18056818,Entertainment,entertainment-2,413
1256,Gaming,gaming,732
576698407,Growth Marketing,growth-marketing,57
35090979,Hack,hack-2,84
576596928,Hiring,hiring,210
376,Humor,humor,27
576818242,Labor,labor,100
576633019,Lawyers,lawyers,89
329026,Media,media-2,1180
576598770,Online lending,online-lending,53
576629216,Patreon,patreon,1
449162627,Personnel,personnel,307
426637499,Privacy,privacy,129
21587494,Security,security,526
449549573,Sports,sports,70
576603290,Talent,talent,246
412,Video,video,393
34942364,Virtual Reality,virtual-reality-2,119
133183,Wearables,wearables,160
1046,WTF,wtf,53
449557102, Apps,apps,5670
